11-06-2024 11:10:38.089 INFO: Incoming request | #1 | resource: /books/total | HTTP Verb GET | request #1 
11-06-2024 11:10:38.428 INFO: Incoming request | #2 | resource: /book | HTTP Verb POST | request #2 
11-06-2024 11:10:38.489 INFO: Incoming request | #3 | resource: /book | HTTP Verb POST | request #3 
11-06-2024 11:10:38.553 INFO: Incoming request | #4 | resource: /book | HTTP Verb GET | request #4 
11-06-2024 11:10:38.615 INFO: Incoming request | #5 | resource: /book | HTTP Verb POST | request #5 
11-06-2024 11:10:38.659 INFO: Incoming request | #6 | resource: /logs/level | HTTP Verb PUT | request #6 
11-06-2024 11:10:38.740 INFO: Incoming request | #7 | resource: /book | HTTP Verb POST | request #7 
11-06-2024 11:10:38.803 INFO: Incoming request | #8 | resource: /books | HTTP Verb GET | request #8 
11-06-2024 11:10:38.864 INFO: Incoming request | #9 | resource: /books | HTTP Verb GET | request #9 
11-06-2024 11:10:38.908 INFO: Incoming request | #10 | resource: /book | HTTP Verb PUT | request #10 
11-06-2024 11:10:38.942 INFO: Incoming request | #11 | resource: /book | HTTP Verb DELETE | request #11 
11-06-2024 11:10:39.015 INFO: Incoming request | #12 | resource: /books/total | HTTP Verb GET | request #12 
14-06-2024 09:52:14.123 INFO: Incoming request | #1 | resource: /books/total | HTTP Verb GET | request #1 
14-06-2024 09:52:14.457 INFO: Incoming request | #2 | resource: /book | HTTP Verb POST | request #2 
14-06-2024 09:52:14.507 INFO: Incoming request | #3 | resource: /book | HTTP Verb POST | request #3 
14-06-2024 09:52:14.555 INFO: Incoming request | #4 | resource: /book | HTTP Verb GET | request #4 
14-06-2024 09:52:14.600 INFO: Incoming request | #5 | resource: /book | HTTP Verb POST | request #5 
14-06-2024 09:52:14.665 INFO: Incoming request | #6 | resource: /logs/level | HTTP Verb PUT | request #6 
14-06-2024 09:52:14.710 INFO: Incoming request | #7 | resource: /book | HTTP Verb POST | request #7 
14-06-2024 09:52:14.744 INFO: Incoming request | #8 | resource: /books | HTTP Verb GET | request #8 
14-06-2024 09:52:14.836 INFO: Incoming request | #9 | resource: /books | HTTP Verb GET | request #9 
14-06-2024 09:52:14.881 INFO: Incoming request | #10 | resource: /book | HTTP Verb PUT | request #10 
14-06-2024 09:52:14.931 INFO: Incoming request | #11 | resource: /book | HTTP Verb DELETE | request #11 
14-06-2024 09:52:14.999 INFO: Incoming request | #12 | resource: /books/total | HTTP Verb GET | request #12 
